title,genre,episodes,score,img_url
Capeta,"['Cars', 'Shounen', 'Sports']",52.0,7.88,https://cdn.myanimelist.net/images/anime/5/17667.jpg
Break Blade 5: Shisen no Hate,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",1.0,7.88,https://cdn.myanimelist.net/images/anime/9/68087.jpg
Aggressive Retsuko (ONA) 2nd Season,"['Slice of Life', 'Comedy']",10.0,7.88,https://cdn.myanimelist.net/images/anime/1739/101117.jpg
Yao Shen Ji 3rd Season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']",40.0,7.89,https://cdn.myanimelist.net/images/anime/1134/95151.jpg
Space☆Dandy,"['Sci-Fi', 'Space', 'Comedy']",13.0,7.89,https://cdn.myanimelist.net/images/anime/4/56611.jpg
Slayers Try,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']",26.0,7.89,https://cdn.myanimelist.net/images/anime/10/50875.jpg
Seikai no Senki II,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']",10.0,7.89,https://cdn.myanimelist.net/images/anime/12/61109.jpg
Mobile Suit Gundam Wing: Endless Waltz Movie,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",1.0,7.89,https://cdn.myanimelist.net/images/anime/1/2507.jpg
Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']",39.0,7.89,https://cdn.myanimelist.net/images/anime/7/22639.jpg
Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",13.0,7.89,https://cdn.myanimelist.net/images/anime/2/39665.jpg
Jungle wa Itsumo Hare nochi Guu Deluxe,"['Comedy', 'Slice of Life']",6.0,7.89,https://cdn.myanimelist.net/images/anime/3/10306.jpg
Hybrid Child,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']",4.0,7.89,https://cdn.myanimelist.net/images/anime/4/65605.jpg
Hakuouki Movie 2: Shikon Soukyuu,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",1.0,7.89,https://cdn.myanimelist.net/images/anime/12/71796.jpg
Haikyuu!! Movie 1: Owari to Hajimari,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1.0,7.89,https://cdn.myanimelist.net/images/anime/8/76011.jpg
Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']",26.0,7.89,https://cdn.myanimelist.net/images/anime/11/75724.jpg
Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",3.0,7.89,https://cdn.myanimelist.net/images/anime/10/14336.jpg
Ginga Eiyuu Densetsu Gaiden (1999),"['Drama', 'Military', 'Sci-Fi', 'Space']",28.0,7.89,https://cdn.myanimelist.net/images/anime/6/9580.jpg
Douluo Dalu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",26.0,7.89,https://cdn.myanimelist.net/images/anime/1438/101531.jpg
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,"['Action', 'Military', 'Super Power', 'Mecha']",1.0,7.89,https://cdn.myanimelist.net/images/anime/7/15968.jpg
Yuru Yuri♪♪,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']",12.0,7.9,https://cdn.myanimelist.net/images/anime/8/75174.jpg
Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",12.0,7.9,https://cdn.myanimelist.net/images/anime/1630/103417.jpg
Saint☆Oniisan (Movie),"['Comedy', 'Seinen', 'Slice of Life']",1.0,7.9,https://cdn.myanimelist.net/images/anime/7/48723.jpg
Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",6.0,7.9,https://cdn.myanimelist.net/images/anime/1/82.jpg
Mahoujin Guruguru (2017),"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']",24.0,7.9,https://cdn.myanimelist.net/images/anime/1880/103168.jpg
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",1.0,7.9,https://cdn.myanimelist.net/images/anime/3/21737.jpg
Jungle wa Itsumo Hare nochi Guu,"['Slice of Life', 'Comedy', 'School']",26.0,7.9,https://cdn.myanimelist.net/images/anime/10/24555.jpg
Jormungand,"['Action', 'Adventure', 'Seinen']",12.0,7.9,https://cdn.myanimelist.net/images/anime/11/73280.jpg
Higashi no Eden,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']",11.0,7.89,https://cdn.myanimelist.net/images/anime/9/15033.jpg
Hello World,['Sci-Fi'],1.0,7.9,https://cdn.myanimelist.net/images/anime/1395/102089.jpg
Gochuumon wa Usagi Desu ka??,"['Slice of Life', 'Comedy']",12.0,7.9,https://cdn.myanimelist.net/images/anime/8/76702.jpg
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']",7.0,7.9,https://cdn.myanimelist.net/images/anime/12/27657.jpg
Douluo Dalu 2nd Season,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']",,7.9,https://cdn.myanimelist.net/images/anime/1538/93566.jpg
Detective Conan Movie 12: Full Score of Fear,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",1.0,7.9,https://cdn.myanimelist.net/images/anime/6/22766.jpg
Detective Conan Movie 09: Strategy Above the Depths,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",1.0,7.9,https://cdn.myanimelist.net/images/anime/8/20983.jpg
City Hunter 3,"['Action', 'Comedy', 'Mystery', 'Shounen']",13.0,7.9,https://cdn.myanimelist.net/images/anime/1147/94393.jpg
Break Blade 4: Sanka no Chi,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",1.0,7.9,https://cdn.myanimelist.net/images/anime/11/68085.jpg
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']",12.0,7.91,https://cdn.myanimelist.net/images/anime/5/86830.jpg
Wotaku ni Koi wa Muzukashii: Youth,"['Slice of Life', 'Comedy', 'Romance']",1.0,7.91,https://cdn.myanimelist.net/images/anime/1506/97024.jpg
The Everlasting Guilty Crown,['Music'],1.0,7.91,https://cdn.myanimelist.net/images/anime/12/47807.jpg
Tasogare Otome x Amnesia,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']",12.0,7.91,https://cdn.myanimelist.net/images/anime/12/64435.jpg
Saint Seiya,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",114.0,7.91,https://cdn.myanimelist.net/images/anime/9/28496.jpg
Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']",13.0,7.91,https://cdn.myanimelist.net/images/anime/12/89562.jpg
Neko no Ongaeshi,"['Adventure', 'Drama', 'Fantasy']",1.0,7.91,https://cdn.myanimelist.net/images/anime/1/597.jpg
Musekinin Kanchou Tylor,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']",26.0,7.91,https://cdn.myanimelist.net/images/anime/4/14898.jpg
Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']",13.0,7.91,https://cdn.myanimelist.net/images/anime/10/59101.jpg
Little Witch Academia,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']",1.0,7.91,https://cdn.myanimelist.net/images/anime/2/42989.jpg
Kuroshitsuji,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",24.0,7.91,https://cdn.myanimelist.net/images/anime/5/27013.jpg
InuYasha (TV),"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']",167.0,7.91,https://cdn.myanimelist.net/images/anime/1589/95329.jpg
Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']",6.0,7.91,https://cdn.myanimelist.net/images/anime/8/38527.jpg
Colorful (Movie),"['Slice of Life', 'Supernatural', 'Drama']",1.0,7.91,https://cdn.myanimelist.net/images/anime/1839/103426.jpg
Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']",38.0,7.91,https://cdn.myanimelist.net/images/anime/1077/92346.jpg
Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']",25.0,7.91,https://cdn.myanimelist.net/images/anime/5/63361.jpg
Yuusha-Ou GaoGaiGar,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",49.0,7.92,https://cdn.myanimelist.net/images/anime/12/21183.jpg
Vampire Hunter D (2000),"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']",1.0,7.92,https://cdn.myanimelist.net/images/anime/9/21432.jpg
Top wo Nerae! Gunbuster,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",6.0,7.92,https://cdn.myanimelist.net/images/anime/1303/92309.jpg
Seitokai Yakuindomo Movie,"['Slice of Life', 'Comedy', 'School', 'Shounen']",1.0,7.92,https://cdn.myanimelist.net/images/anime/12/87184.jpg
Maria-sama ga Miteru 3rd,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']",5.0,7.92,https://cdn.myanimelist.net/images/anime/6/75209.jpg
Magic Kaito,"['Adventure', 'Comedy', 'Romance', 'Shounen']",12.0,7.92,https://cdn.myanimelist.net/images/anime/13/46095.jpg
Hoozuki no Reitetsu 2nd Season,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",13.0,7.92,https://cdn.myanimelist.net/images/anime/8/88280.jpg
Hibike! Euphonium Movie 3: Chikai no Finale,"['Drama', 'Music', 'School']",1.0,7.92,https://cdn.myanimelist.net/images/anime/1141/102223.jpg
Hataraku Maou-sama!,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']",13.0,7.92,https://cdn.myanimelist.net/images/anime/3/50177.jpg
Haikyuu!! Movie 4: Concept no Tatakai,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",1.0,7.92,https://cdn.myanimelist.net/images/anime/3/86346.jpg
Detective Conan Movie 08: Time Travel of the Silver Sky,"['Adventure', 'Mystery']",1.0,7.92,https://cdn.myanimelist.net/images/anime/2/17583.jpg
Detective Conan Movie 07: Crossroad in the Ancient Capital,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",1.0,7.92,https://cdn.myanimelist.net/images/anime/10/20984.jpg
Yuru Yuri Nachuyachumi!,"['Comedy', 'Shoujo Ai', 'Slice of Life']",1.0,7.93,https://cdn.myanimelist.net/images/anime/2/73281.jpg
Uchouten Kazoku,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']",13.0,7.93,https://cdn.myanimelist.net/images/anime/3/85433.jpg
Working'!!,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",13.0,7.93,https://cdn.myanimelist.net/images/anime/3/75263.jpg
Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",12.0,7.93,https://cdn.myanimelist.net/images/anime/5/64449.jpg
Seihou Bukyou Outlaw Star,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']",24.0,7.93,https://cdn.myanimelist.net/images/anime/7/28848.jpg
Saiyuuki Gaiden,"['Action', 'Adventure', 'Drama', 'Fantasy']",3.0,7.93,https://cdn.myanimelist.net/images/anime/5/75818.jpg
Planetarian: Hoshi no Hito,"['Sci-Fi', 'Drama']",1.0,7.93,https://cdn.myanimelist.net/images/anime/10/79771.jpg
Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",220.0,7.93,https://cdn.myanimelist.net/images/anime/13/17405.jpg
Mobile Suit Gundam Thunderbolt: December Sky,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1.0,7.93,https://cdn.myanimelist.net/images/anime/2/79823.jpg
Magi: Sinbad no Bouken,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",5.0,7.93,https://cdn.myanimelist.net/images/anime/13/60471.jpg
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"['Action', 'Military', 'Sci-Fi', 'Space']",1.0,7.93,https://cdn.myanimelist.net/images/anime/3/51345.jpg
Gake no Ue no Ponyo,"['Adventure', 'Fantasy']",1.0,7.93,https://cdn.myanimelist.net/images/anime/7/8970.jpg
Fairy Tail,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",175.0,7.93,https://cdn.myanimelist.net/images/anime/5/18179.jpg
Eikoku Koi Monogatari Emma: Molders-hen,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']",12.0,7.93,https://cdn.myanimelist.net/images/anime/8/49271.jpg
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","['Drama', 'Romance', 'School']",1.0,7.93,https://cdn.myanimelist.net/images/anime/10/19621.jpg
Zan Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",13.0,7.94,https://cdn.myanimelist.net/images/anime/5/14728.jpg
Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']",35.0,7.93,https://cdn.myanimelist.net/images/anime/2/49693.jpg
Seto no Hanayome OVA,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']",2.0,7.94,https://cdn.myanimelist.net/images/anime/6/22426.jpg
Saiyuuki Reload: Burial,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']",3.0,7.94,https://cdn.myanimelist.net/images/anime/1890/94055.jpg
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"['Adventure', 'Fantasy', 'Historical', 'Romance']",1.0,7.94,https://cdn.myanimelist.net/images/anime/12/13070.jpg
Magic Kaito 1412,"['Adventure', 'Comedy', 'Romance', 'Shounen']",24.0,7.94,https://cdn.myanimelist.net/images/anime/3/67807.jpg
Lupin III (2015),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",24.0,7.94,https://cdn.myanimelist.net/images/anime/9/75949.jpg
Les Misérables: Shoujo Cosette,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']",52.0,7.94,https://cdn.myanimelist.net/images/anime/1/1695.jpg
Initial D Third Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']",1.0,7.94,https://cdn.myanimelist.net/images/anime/13/40397.jpg
Hanasaku Iroha: Home Sweet Home,"['Slice of Life', 'Comedy', 'Drama']",1.0,7.94,https://cdn.myanimelist.net/images/anime/9/70701.jpg
Hoozuki no Reitetsu OVA,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",4.0,7.94,https://cdn.myanimelist.net/images/anime/8/68677.jpg
Haikyuu!! Movie 3: Sainou to Sense,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",1.0,7.94,https://cdn.myanimelist.net/images/anime/3/86069.jpg
Devilman: Crybaby,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",10.0,7.94,https://cdn.myanimelist.net/images/anime/2/89973.jpg
